# Launch date,Name,COSPAR ID,End date,Flyby date,Orbit insertion,Enter atmosphere,Landing date,Space Agency,Objective,In-play score,Final score,Successfully reached orbit,Successfully left orbit,Successful flyby?,Successful orbiter?,Successful atmosphere probe?,Successful lander?,Successful rover?,Link,Report,Reporter,Notes
1938-10-31T00:45:00,Martian Invasion Fleet,,1938-10-31T00:45:00,,,,,mars,earth,,0-0,,,,,,,,http://www.waroftheworlds.org/,"Various scattered reports detail an invasion force of hundreds at Grovers Mill, NJ from Mars on 1938 October 31 around 01:50:00 UTC. Unfortunately, these reports are unsubstantiated; but even if true, the landers don't appear to have left with any information.<br /><br />Scientists at Yoyodyne Propulsion Systems were unavaliable for comment.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",
1960-10-10T14:27:49,Marsnik 1,MARSNK1,1960-10-10T14:27:49,,,,,earth-soviet,mars,,0-1,FALSE,,,,,,,,,,Failed
1960-10-14T13:51:03,Marsnik 2,MARSNK2,1960-10-14T13:51:03,,,,,earth-soviet,mars,,0-1,FALSE,,,,,,,,Yet another incomplete in exactly the same fashion.,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed
1961-02-04T09:36:00,Sputnik 7,1961-002A,1961-02-26,,,,,earth-soviet,venus,,0-1,FALSE,,,,,,,,"The spacecraft and attached upper stage either broke up as they were going into Earth orbit or had the upper stage explode in orbit during the burn to put the spacecraft into Mars trajectory. In either case, the spacecraft broke into many pieces, some of which apparently remained in Earth orbit for a few days. (This occurred during the Cuban missile crisis. The debris was detected by the U.S. Ballistic Missile Early Warning System radar in Alaska and was momentarily feared to be the start of a Soviet nuclear ICBM attack.)","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",The spacecraft broke into many pieces after launch.
1961-02-12T02:09:00,Venera 1,1961-003A,1961-02-19,,,,,earth-soviet,venus,,0-1,TRUE,TRUE,-1,,,,,,"A swing and a miss: On February 19, seven days after launch and at a distance of about 2,000,000 km from Earth, contact with the spacecraft was lost. On May 19, Venera 1 passed within 100,000 km of Venus and entered a heliocentric orbit.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","Seven days after launch, at around 2,000,000 km from Earth, contact with the spacecraft was lost."
1962-07-22T09:21:23,Mariner 1,MARIN1,1962-07-22T09:26:16,,,,,earth-nasa,venus,,0-1,FALSE,,,,,,,,"The vehicle was destroyed by the Range Safety Officer 293 seconds after launch at 09:26:16 UT when it veered off course. Apparently, someone neglected a hyphen in the data-editing program on the flight computer.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",The vehicle was destroyed 293 seconds after launch when it veered off course. Failure due to a software issue.
1962-08-25T02:52:00,Sputnik 19,1962-040A,1962-08-28,,,,,earth-soviet,venus,,0-1,FALSE,,,,,,,,"The launcher put the spacecraft into Earth orbit, but the escape stage failed and the probe remained in geocentric orbit for three days until the orbit decayed on August 28 and it re-entered Earth's atmosphere.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed to leave Earth orbit and re-entered Earth's atmosphere.
1962-08-27T06:53:14,Mariner 2,1962-041A,1963-01-03T07:00:00,1962-12-14T19:59:28,,,,earth-nasa,venus,,1-0,TRUE,,1,,,,,,"SCORE! But it wasn't easy: On September 8 17:50 UT the spacecraft suddenly lost its attitude control, which was restored by the gyroscopes 3 minutes later. The cause was unknown but may have been a collision with a small object. Then, on November 15, one solar panel failed. However, the probe got within 34,773 km of the planet on December 14 19:59:28. Much of the baseline information that we know about Venus came from this probe: a slow retrograde rotation rate for Venus, hot surface temperatures and high surface pressures, a predominantly carbon dioxide atmosphere, continuous cloud cover with a top altitude of about 60 km, and no detectable magnetic field. The last transmission from Mariner 2 was received on 1963 January 3 at 07:00 UT. Mariner 2 remains in heliocentric orbit.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","Despite a loss of attitude control and a failure of a solar panel, this returned data"
1962-09-01T02:12:30,Sputnik 20,1962-043A,1962-09-06,,,,,earth-soviet,venus,,0-1,FALSE,,,,,,,,"The launcher put the spacecraft into Earth orbit, but the escape stage failed and the probe remained in geocentric orbit for five days until the orbit decayed and it re-entered Earth's atmosphere. Sound familliar?","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed to leave Earth orbit.
1962-09-12T00:59:13,Sputnik 21,1962-045A,1962-09-14,,,,,earth-soviet,venus,,0-1,FALSE,,,,,,,,"The launcher put the spacecraft into Earth orbit, but the escape stage failed. This time, the probe did not remain in orbit. That's because the escape stage EXPLODED.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Reached Earth orbit but the escape stage exploded.
1962-10-24T17:55:04,Sputnik 22,1962-057A,1962-10-29,,,,,earth-soviet,mars,,0-1,FALSE,,,,,,,,"The spacecraft and attached upper stage either broke up as they were going into Earth orbit or had the upper stage explode in orbit during the burn to put the spacecraft into Mars trajectory. In either case, the spacecraft broke into many pieces, some of which apparently remained in Earth orbit for a few days. (This occurred during the Cuban missile crisis. The debris was detected by the U.S. Ballistic Missile Early Warning System radar in Alaska and was momentarily feared to be the start of a Soviet nuclear ICBM attack.)","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed to reach Earth orbit and broke into many pieces.
1962-11-01T16:14:16,Mars 1,1962-061A,1963-03-21,,,,,earth-soviet,mars,,0-1,TRUE,TRUE,-1,,,,,,"Early telemetry indicated that there was a leak in one of the gas valves in the orientation system so the spacecraft was transferred to gyroscopic stabilization. On its way to Mars, communications ceased, probably due to failure of the spacecraft orientation system.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","On its way to Mars, communications ceased."
1962-11-04T15:35:15,Sputnik 24,1962-062A,1962-11-25,,,,,earth-soviet,mars,,0-1,TRUE,FALSE,,,,,,,The booster and spacecraft broke up during the burn to transfer to Mars trajectory. Five large pieces were tracked by the U.S. Ballistic Missile Early Warning System.,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Both booster and spacecraft broke up during the burn to transfer to a Mars trajectory.
1963-11-11T06:23:35,Cosmos 21,1963-044A,1963-11-14,,,,,earth-soviet,venus,,0-1,TRUE,FALSE,,,,,,,"The launcher put the spacecraft into Earth orbit, but the escape stage failed and the probe remained in geocentric orbit for three days until the orbit decayed and it re-entered Earth's atmosphere. Someone needs to sit down and have a talk with this player....","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed to leave Earth orbit.
1964-02-19T05:47:40,Venera 1964A,,1964-02-19T05:47:40,,,,,earth-soviet,venus,,0-1,FALSE,,,,,,,http://nssdc.gsfc.nasa.gov/planetary/tent_launch.html#venera1964a,The spacecraft and launcher failed to attain Earth orbit,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed to reach Earth orbit.
1964-03-01,Venera 1964B,,1964-03-01,,,,,earth-soviet,venus,,0-1,FALSE,,,,,,,http://nssdc.gsfc.nasa.gov/planetary/tent_launch.html#venera1964b,"The spacecraft and launcher failed to attain Earth orbit<br /><br />Ok, someone <i>else</i> needs to have a talk with this player...","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed to reach Earth orbit
1964-03-27T03:21:00,Cosmos 27,1964-014A,1964-03-27T03:21:00,,,,,earth-soviet,venus,,0-1,TRUE,FALSE,,,,,,,"The launcher put the spacecraft into Earth orbit, but the escape stage failed and the probe remained in geocentric orbit until the orbit decayed and it re-entered Earth's atmosphere. Venus seems to be doing very well with this standard defense.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed to leave Earth orbit.
1964-04-02T02:52:00,Zond 1,1964-016D,1964-04-02T02:52:00,,,,,earth-soviet,venus,,0-1,TRUE,TRUE,-1,,,,,,"Once again, Venus sucessfully jams a probe from Earth. The probe flew by Venus at a distance of 100,000 km on 1964 July 14, but communications were lost on 1964 May 14. It now happily orbits the sun.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","The probe flew by Venus at a distance of 100,000 km on 1964 July 14, but communications had been lost on May 14."
1964-11-05T19:22:05,Mariner 3,1964-073A,1964-11-05T19:22:05,,,,,earth-nasa,mars,,0-1,TRUE,FALSE,,,,,,,"Earth puts in a new player, but a protective shield failed to eject after the spacecraft had passed through the Earth's atmosphere. None of the instrument sensors were uncovered, and the added weight prevented the spacecraft from attaining its prescribed Mars trajectory.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",A hardware malfunction meant the spacecraft failed to attain its prescribed Mars trajectory.
1964-11-30,Zond 2,1964-078C,1965-08-06,,,,,earth-soviet,mars,,0-1,TRUE,TRUE,-1,,,,,,"One of the two solar panels failed so only half the anticipated power was available to the spacecraft. After a mid-course maneuver, communications with the spacecraft were lost in early May, 1965. The spacecraft flew by Mars on 6 August 1965 at a distance of 1500 km.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","A solar panel failed and, in May 1965, communications were lost. The spacecraft flew silently by Mars on 6 August 1965."
1964-11-28T14:22:01,Mariner 4,1964-077A,1967-12-21,1965-07-14,,,,earth-nasa,mars,,1-0,TRUE,TRUE,1,,,,,,EARTH SCORES!!!! Mariner 4 successfully flies by Mars on 1965 Jul 14 and returns the first pictures of the Martian Surface.,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Mariner 4 went by Mars on 1965 Jul 14 and returned the first pictures of the Martian Surface.
1965-11-12T05:02:00,Venera 2,1965-091A,1966-03-04,,,,,earth-soviet,venus,,0-1,TRUE,TRUE,-1,,,,,,"Once again, Venus sucessfully jams a probe from Earth. The probe flew by Venus at a distance of 24,000 km on 1966 February 27, but the spacecraft system had ceased to operate before the planet was reached and returned no data. It now happily orbits the sun.<br /><br />Raspberry, anyone?","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","The probe flew by Venus at a distance of 24,000 km on 1966 February 27, but had ceased to operate beforehand."
1965-11-16T04:19:00,Venera 3,1965-092A,1966-03-01,,,,,earth-soviet,venus,,0-1,TRUE,TRUE,,,,-1,,,"As if foreshadowing a ""landing"" on <a href=""#mars"">Mars</a> almost exactly five years in the future, and following the lead of Venera 1, Venera 3 ""landed"" on Venus on 1966 March 1 making it the first probe to ""land"" on the surface of another planet. It carried a radio communication system, scientific instruments, electrical power sources, and medallions bearing the coat of arms of the U.S.S.R. None of these things do you much good when you ""land"" on another planet.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Venera 3 crashed on Venus on 1966 March 1.
1965-11-23T03:22:00,Cosmos 96,1965-094A,1965-12-09,,,,,earth-soviet,venus,,0-1,TRUE,FALSE,,,,,,,"Let's just say that this one made it to Earth orbit, but a tiny malfunction (read: explosion) damaged the spacecraft (go figure) and kept it from leaving orbit. The damaged spacecraft remained in orbit for 16 days and reentered the Earth's atmosphere on 9 December 1965.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",An explosion stopped the spacecraft from leaving Earth orbit.
1965-11-26,Venera 1965A,,1965-11-26,,,,,earth-soviet,venus,,0-1,FALSE,,,,,,,http://nssdc.gsfc.nasa.gov/planetary/tent_launch.html#venera1965a,"It is believed the SL-6/A-2-e launcher failed.<br /><br />This brings back memories of those movies of rockets that start lifting off only to sink back to Earth - with the engines still firing.<br /><br />Popcorn, anyone?","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",The launcher failed.
